run_id,scenario_id,split,canonical_model,quantization,max_tokens,stop_reason,output_tokens,reasoning_chars,content_chars,wall_ms,all_pass,content_started,in_primary_population
R6-bonsai-dev,S06-2000005,dev,ternary-bonsai-27b,Q2_0,8192,length,8192,30175,0,147423,False,False,False
R6-bonsai-dev,S09-2003008,dev,ternary-bonsai-27b,Q2_0,8192,length,8192,29298,0,146084,False,False,False
R6-bonsai-dev,S10-2000009,dev,ternary-bonsai-27b,Q2_0,8192,length,8192,30045,0,145588,False,False,False
R6-bonsai-dev,S10-2002009,dev,ternary-bonsai-27b,Q2_0,8192,length,8192,28629,0,144963,False,False,False
R6-bonsai-test,S03-3002002,test,ternary-bonsai-27b,Q2_0,8192,length,8192,27397,0,141433,False,False,False
R6-bonsai-test,S04-3005003,test,ternary-bonsai-27b,Q2_0,8192,length,8192,29691,0,142859,False,False,False
R6-bonsai-test,S04-3006003,test,ternary-bonsai-27b,Q2_0,8192,length,8192,27889,0,142366,False,False,False
R6-bonsai-test,S07-3001006,test,ternary-bonsai-27b,Q2_0,8192,length,8192,15227,7453,159012,False,True,False
R6-bonsai-test,S10-3007009,test,ternary-bonsai-27b,Q2_0,8192,length,8192,25996,0,167064,False,False,False
R6-bonsai-test,S12-3000011,test,ternary-bonsai-27b,Q2_0,8192,length,8192,27104,0,166874,False,False,False
R6-bonsai-test,S12-3001011,test,ternary-bonsai-27b,Q2_0,8192,length,8192,28391,0,167759,False,False,False
R6-bonsai-test,S12-3003011,test,ternary-bonsai-27b,Q2_0,8192,length,8192,28790,0,162441,False,False,False
R6-bonsai-train-pilot,S04-1001003,train,ternary-bonsai-27b,Q2_0,8192,length,8192,29294,0,143431,False,False,False
R6-bonsai-train-pilot,S04-1002003,train,ternary-bonsai-27b,Q2_0,8192,length,8192,26434,0,140367,False,False,False
R6-bonsai-train-pilot,S09-1001008,train,ternary-bonsai-27b,Q2_0,8192,length,8192,33057,0,139767,False,False,False
R6-bonsai-train-pilot,S12-1001011,train,ternary-bonsai-27b,Q2_0,8192,length,8192,27856,0,140828,False,False,False
R6-qwen35-dev,S02-2000001,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,26877,0,88126,False,False,False
R6-qwen35-dev,S06-2001005,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,26126,0,92709,False,False,False
R6-qwen35-dev,S06-2003005,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,30788,0,87608,False,False,False
R6-qwen35-dev,S07-2000006,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,24785,0,88263,False,False,False
R6-qwen35-dev,S10-2003009,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,29652,0,87486,False,False,False
R6-qwen35-dev,S11-2001010,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,29379,0,88161,False,False,False
R6-qwen35-dev,S11-2002010,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,26931,0,88927,False,False,False
R6-qwen35-dev,S11-2003010,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,31943,0,89646,False,False,False
R6-qwen35-dev,S12-2000011,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,30598,0,87143,False,False,False
R6-qwen35-dev,S12-2002011,dev,qwen3.5-9b,Q4_K_M,8192,length,8192,30360,0,87090,False,False,False
R6-qwen35-train-pilot,S06-1001005,train,qwen3.5-9b,Q4_K_M,8192,length,8192,29868,0,100720,False,False,False
R6-qwen35-train-pilot,S07-1000006,train,qwen3.5-9b,Q4_K_M,8192,length,8192,29129,0,101794,False,False,False
R6-qwen35-train-pilot,S07-1001006,train,qwen3.5-9b,Q4_K_M,8192,length,8192,25683,0,102220,False,False,False
R6-qwen35-train-pilot,S07-1002006,train,qwen3.5-9b,Q4_K_M,8192,length,8192,27279,0,101559,False,False,False
R6-qwen35-train-pilot,S10-1000009,train,qwen3.5-9b,Q4_K_M,8192,length,8192,28328,0,100891,False,False,False
R6-qwen35-train-pilot,S10-1002009,train,qwen3.5-9b,Q4_K_M,8192,length,8192,28671,0,101753,False,False,False
R6-qwen35-train-pilot,S11-1001010,train,qwen3.5-9b,Q4_K_M,8192,length,8192,30194,0,102686,False,False,False
R6-qwen35-train-pilot,S11-1002010,train,qwen3.5-9b,Q4_K_M,8192,length,8192,27170,0,105177,False,False,False
R6-qwen35-train-pilot,S12-1000011,train,qwen3.5-9b,Q4_K_M,8192,length,8192,31803,0,103415,False,False,False
R6-qwen35-train-pilot,S12-1001011,train,qwen3.5-9b,Q4_K_M,8192,length,8192,32252,0,100428,False,False,False
R6-qwen35-train-stab,S07-1000006,train,qwen3.5-9b,Q4_K_M,8192,length,8192,29129,0,106824,False,False,False
R6-qwen35-train-stab,S10-1000009,train,qwen3.5-9b,Q4_K_M,8192,length,8192,28328,0,104434,False,False,False
R6-qwen35-train-stab,S12-1000011,train,qwen3.5-9b,Q4_K_M,8192,length,8192,31803,0,102169,False,False,False
R6-qwen38-q3km-dev,S01-2003000,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,23844,2174,277664,False,True,False
R6-qwen38-q3km-dev,S02-2002001,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27543,0,281877,False,False,False
R6-qwen38-q3km-dev,S02-2003001,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,25938,1624,280792,False,True,False
R6-qwen38-q3km-dev,S06-2000005,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27854,666,271435,False,True,False
R6-qwen38-q3km-dev,S06-2001005,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27961,1609,271791,False,True,False
R6-qwen38-q3km-dev,S06-2002005,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,30552,0,279297,False,False,False
R6-qwen38-q3km-dev,S07-2000006,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,30129,0,280411,False,False,False
R6-qwen38-q3km-dev,S07-2001006,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,24484,1663,279091,False,True,False
R6-qwen38-q3km-dev,S07-2002006,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28026,215,277699,False,True,False
R6-qwen38-q3km-dev,S07-2003006,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27664,0,273608,False,False,False
R6-qwen38-q3km-dev,S09-2000008,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,32734,0,270688,False,False,False
R6-qwen38-q3km-dev,S10-2000009,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27352,0,267255,False,False,False
R6-qwen38-q3km-dev,S10-2001009,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27277,579,273670,False,True,False
R6-qwen38-q3km-dev,S10-2002009,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27964,316,274269,False,True,False
R6-qwen38-q3km-dev,S10-2003009,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27353,1360,273703,False,True,False
R6-qwen38-q3km-dev,S11-2000010,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,30254,0,274625,False,False,False
R6-qwen38-q3km-dev,S11-2001010,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,25871,3423,271248,False,True,False
R6-qwen38-q3km-dev,S11-2002010,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,30345,0,271741,False,False,False
R6-qwen38-q3km-dev,S11-2003010,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,31128,0,272091,False,False,False
R6-qwen38-q3km-dev,S12-2000011,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,36338,0,268698,False,False,False
R6-qwen38-q3km-dev,S12-2001011,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,33767,0,266686,False,False,False
R6-qwen38-q3km-dev,S12-2003011,dev,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,34719,0,269799,False,False,False
R6-qwen38-q3km-test,S01-3002000,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,24809,1886,279910,False,True,False
R6-qwen38-q3km-test,S02-3000001,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,25568,2349,278432,False,True,False
R6-qwen38-q3km-test,S02-3004001,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28668,1285,279112,False,True,False
R6-qwen38-q3km-test,S02-3005001,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27686,1010,279290,False,True,False
R6-qwen38-q3km-test,S02-3006001,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,25302,1592,279213,False,True,False
R6-qwen38-q3km-test,S02-3007001,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,25185,2068,278718,False,True,False
R6-qwen38-q3km-test,S05-3003004,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27527,0,273854,False,False,False
R6-qwen38-q3km-test,S05-3006004,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,24049,2814,276591,False,True,False
R6-qwen38-q3km-test,S06-3000005,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29934,0,276746,False,False,False
R6-qwen38-q3km-test,S06-3001005,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28548,0,278461,False,False,False
R6-qwen38-q3km-test,S06-3003005,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,30050,360,277295,False,True,False
R6-qwen38-q3km-test,S06-3004005,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,31688,0,278072,False,False,False
R6-qwen38-q3km-test,S06-3005005,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28494,0,276376,False,False,False
R6-qwen38-q3km-test,S06-3007005,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29217,0,274958,False,False,False
R6-qwen38-q3km-test,S07-3000006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27618,0,275816,False,False,False
R6-qwen38-q3km-test,S07-3001006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,26577,0,277681,False,False,False
R6-qwen38-q3km-test,S07-3002006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28192,0,280622,False,False,False
R6-qwen38-q3km-test,S07-3003006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29044,0,278242,False,False,False
R6-qwen38-q3km-test,S07-3004006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29557,0,279460,False,False,False
R6-qwen38-q3km-test,S07-3005006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27000,0,276317,False,False,False
R6-qwen38-q3km-test,S07-3006006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27660,0,277352,False,False,False
R6-qwen38-q3km-test,S07-3007006,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27361,929,279484,False,True,False
R6-qwen38-q3km-test,S08-3005007,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29906,296,277240,False,True,False
R6-qwen38-q3km-test,S09-3003008,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,32183,945,270794,False,True,False
R6-qwen38-q3km-test,S10-3000009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,26388,0,276156,False,False,False
R6-qwen38-q3km-test,S10-3001009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,26721,443,274578,False,True,False
R6-qwen38-q3km-test,S10-3002009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27254,0,272131,False,False,False
R6-qwen38-q3km-test,S10-3003009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27409,0,269430,False,False,False
R6-qwen38-q3km-test,S10-3004009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,26776,879,268899,False,True,False
R6-qwen38-q3km-test,S10-3005009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28209,0,271188,False,False,False
R6-qwen38-q3km-test,S10-3006009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28707,0,270018,False,False,False
R6-qwen38-q3km-test,S10-3007009,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,23310,3277,269483,False,True,False
R6-qwen38-q3km-test,S11-3000010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,27799,0,271261,False,False,False
R6-qwen38-q3km-test,S11-3002010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28982,0,274492,False,False,False
R6-qwen38-q3km-test,S11-3003010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29224,1427,272607,False,True,False
R6-qwen38-q3km-test,S11-3004010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29871,0,269543,False,False,False
R6-qwen38-q3km-test,S11-3005010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29924,0,270430,False,False,False
R6-qwen38-q3km-test,S11-3006010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,28829,0,280269,False,False,False
R6-qwen38-q3km-test,S11-3007010,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,29966,0,277306,False,False,False
R6-qwen38-q3km-test,S12-3000011,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,35065,0,272532,False,False,False
R6-qwen38-q3km-test,S12-3001011,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,34969,0,273129,False,False,False
R6-qwen38-q3km-test,S12-3002011,test,qwen3.8-27b,Q3_K_M|UD-Q3_K_XL,8192,length,8192,34906,0,269332,False,False,False
